,abstract_id,sentence_index,attack_successful,divergence,num_changed,num_queries
0,1524115,0,False,0.0003422711743041,5,22
1,1524115,1,False,1.6066227544797584e-05,5,11
2,1524115,2,True,0.0004873441357631,7,45
3,1524115,3,False,0.0002340178616577,8,28
4,1524115,4,False,0.0003869419451802,9,38
5,1524115,5,True,0.0002985891478601,1,111
6,1524115,6,False,0.0004148533043917,14,63
7,1524115,7,True,0.0002581842418294,1,114
8,1524115,8,True,0.0002695864823181,1,142
9,1524115,9,False,0.0762901529669761,17,65
10,1524115,10,False,0.000285056856228,8,33
11,1524115,11,False,0.0001792781840777,25,88
12,1524115,12,False,7.624254794791341e-05,24,101
13,1524115,13,False,7.236930105136707e-05,21,74
14,1882923,0,True,0.0002002348919631,1,18
15,1882923,1,False,3.4378754207864404e-05,5,11
16,1882923,2,True,0.0001903641968965,1,43
17,1882923,3,True,0.0004454664012882,1,50
18,1882923,4,True,0.0001669096964178,1,41
19,1882923,5,True,0.1390460580587387,1,97
20,1882923,6,True,0.2443297654390335,1,61
21,1882923,7,True,0.0025984670501202,3,75
22,1882923,9,True,0.0001157369697466,1,22
23,1882923,10,True,7.595415081596002e-05,2,65
24,1882923,11,True,6.65642655803822e-05,17,67
25,8123096,0,True,0.0009551253169775,1,22
26,8123096,1,True,0.0003323219716548,1,7
27,8123096,2,True,0.0003120286855846,1,54
28,8123096,3,True,0.0008693983545526,1,45
29,8123096,4,True,0.0009214580059051,1,39
30,8123096,5,True,0.0008810049621388,1,45
31,8123096,6,True,0.0003800946869887,1,39
32,8123096,7,True,0.2202245444059372,1,56
33,8123096,8,True,0.177558347582817,1,17
34,8123096,9,True,0.0003946965443901,1,18
35,8123096,10,True,0.0007827543886378,1,13
36,8123096,11,True,0.0011311540147289,1,24
37,8123096,12,True,0.0007542726816609,1,32
38,8123096,13,True,0.0011756727471947,1,43
39,8123096,14,True,0.0297406874597072,1,46
40,8123096,16,True,0.0001035155728459,1,79
41,8123096,17,True,7.276921678567305e-06,1,45
42,8628544,0,False,0.0007963288808241,3,11
43,8628544,1,False,2.2323773009702563e-05,4,10
44,8628544,2,False,0.0078958719968795,26,96
45,8628544,3,False,0.003076524939388,8,28
46,8628544,4,False,0.0017026824643835,3,10
47,8628544,5,False,0.0039393045008182,14,48
48,8628544,6,True,0.206971675157547,1,75
49,8628544,7,True,0.1615420281887054,1,93
50,8628544,8,False,0.0021329671144485,5,17
51,8628544,9,False,0.0046254331246018,15,53
52,8628544,10,True,0.2277180403470993,1,92
53,8628544,11,False,0.0002024411369347,16,70
54,8628544,12,False,0.0010535717010498,11,43
55,8628544,13,True,1.0218939781188965,1,58
56,8628544,14,False,1.2633768164960202e-05,12,45
57,8628544,15,True,1.0302062034606934,1,82
58,8628544,16,True,0.9817485809326172,1,34
59,8628544,17,True,1.036902666091919,1,42
60,8628544,18,False,2.600471020741679e-07,14,60
61,8628544,19,False,2.1175900144498885e-07,8,28
62,8694726,0,False,0.0006296219071373,6,21
63,8694726,1,False,0.0004099009383935,4,10
64,8694726,2,True,0.0032804696820676,14,72
65,8694726,3,True,0.0003464203618932,1,8
66,8694726,4,False,0.0007679525297135,22,84
67,8694726,6,False,0.0004309511859901,4,10
68,8694726,7,True,0.0051288288086652,4,144
69,8694726,8,True,0.0721687376499176,1,61
70,8694726,9,True,0.1139936968684196,1,49
71,8694726,10,True,0.0025082274805754,7,47
72,8694726,11,True,6.579174078069627e-05,1,83
73,8694726,12,True,0.0013418418820947,1,41
74,8694726,13,True,0.0149062201380729,15,61
75,8694726,14,False,1.1747281860152723e-05,13,49
76,8694726,15,False,4.484758392209187e-06,23,79
77,8694726,16,False,8.165137842297554e-06,13,50
78,8694726,17,False,4.093605184607441e-06,21,78
79,9230823,0,True,1.843136124080047e-05,1,17
80,9230823,1,True,0.000653708120808,1,8
81,9230823,2,True,7.964312680996954e-05,1,43
82,9230823,3,True,0.0011742603965103,1,12
83,9230823,4,True,3.340113471494988e-05,1,20
84,9230823,5,True,0.0006099841557443,1,81
85,9230823,8,True,0.0004017269238829,2,34
86,9230823,9,True,0.0006092609837651,2,59
87,9230823,10,True,0.1337113380432129,1,37
88,9230823,11,True,0.0010524448007345,1,47
89,9230823,12,True,0.0008211984531953,1,13
90,9230823,13,True,0.0006438568234443,1,11
91,9230823,14,True,0.0015957815339788,1,49
92,9230823,15,True,0.9577922224998474,1,84
93,9230823,16,True,0.0082556530833244,1,76
94,9230823,18,True,0.5069742798805237,7,35
95,9230823,19,True,1.0361207723617554,1,95
96,9230823,20,True,0.8671474456787109,1,19
97,9230823,21,False,0.0004798488807864,3,11
98,9230823,22,True,0.0024250578135252,10,52
99,9230823,23,True,0.0019057226600125,9,63
100,9230823,24,False,0.0001431077980669,21,80
101,9331215,0,True,0.449348121881485,1,9
102,9331215,1,False,0.000152388063725,4,10
103,9331215,2,True,0.4480695724487304,1,48
104,9331215,3,True,0.4478069245815277,1,112
105,9331215,4,True,0.447760134935379,1,130
106,9331215,5,True,0.4483738243579864,1,100
107,9331215,6,True,0.4490101933479309,1,35
108,9331215,7,True,0.4510134756565094,1,51
109,9331215,8,True,0.4582999944686889,1,35
110,9331215,9,True,0.4171328544616699,1,57
111,9331215,10,True,0.0024548410438001,1,24
112,9331215,11,True,0.0007428082753904,6,57
113,9331215,12,False,0.0013433187268674,10,33
114,9331215,13,True,0.0043646716512739,1,64
115,9331215,14,False,0.0054264101199805,21,79
116,9331215,15,True,0.0001047547411872,6,32
117,9331215,16,True,1.1226321703361464e-06,18,67
118,10080213,0,True,8.061817061388865e-05,1,10
119,10080213,1,False,9.981759649235757e-05,5,11
120,10080213,2,True,0.127875730395317,1,58
121,10080213,3,True,0.0001859347394201,1,50
122,10080213,4,True,0.0001554534392198,1,49
123,10080213,5,True,0.128184825181961,1,93
124,10080213,6,True,0.0001595975190866,3,11
125,10080213,7,True,0.0002216227148892,5,67
126,10080213,8,True,0.0001382793998345,3,29
127,10080213,9,True,0.2286867201328277,1,56
128,10080213,10,True,0.0002359606296522,4,59
129,10080213,11,False,7.870544504839927e-05,13,36
130,10080213,12,True,0.0276798699051141,1,56
131,10080213,13,True,1.3793454854749145e-05,1,66
132,10080213,14,True,0.0004840670153498,1,21
133,10080213,15,True,0.0006543303024955,1,23
134,10080213,16,True,0.0007958348724059,1,62
135,10080213,17,True,0.000209714504308,1,55
136,10080213,18,True,9.702089300844818e-06,1,57
137,10080213,19,True,4.58341819467023e-05,1,49
138,10080213,20,True,1.778591649781447e-05,1,61
139,10080213,21,True,6.374775693984702e-06,1,56
140,10080213,22,True,1.8567341612651944e-05,1,39
141,10080213,23,True,0.7268410325050354,1,34
142,10080213,24,False,0.0145074687898159,40,145
143,10080213,25,False,0.0,20,74
144,10664047,0,True,0.0005316784954629,1,39
145,10664047,1,False,1.1236071259190794e-05,4,10
146,10664047,2,True,0.000166012570844,1,76
147,10664047,3,True,0.0004041991487611,1,16
148,10664047,4,True,4.4337688450468704e-05,8,40
149,10664047,5,True,0.0004464493540581,1,111
150,10664047,6,True,1.0556507731962483e-05,2,128
151,10664047,7,True,0.13016277551651,1,54
152,10664047,8,True,0.0840210393071174,1,37
153,10664047,9,True,9.34942509047687e-05,2,33
154,10664047,10,True,0.0014398974599316,23,139
155,10664047,11,False,6.114598363637924e-06,4,16
156,10664047,12,False,0.0001776578574208,27,92
157,10664047,13,False,3.724310545294429e-06,18,72
158,10837379,0,True,0.0022596565540879,1,21
159,10837379,1,True,2.832152858900372e-06,1,9
160,10837379,2,True,0.0012488138163462,5,68
161,10837379,3,True,9.13643161766231e-05,4,27
162,10837379,4,True,0.0023439382202923,1,11
163,10837379,5,True,0.0023127479944378,1,29
164,10837379,6,True,0.0022569326683878,1,100
165,10837379,7,True,0.0024028632324188,1,44
166,10837379,8,False,0.0069144084118306,23,71
167,10837379,9,False,0.0038680830039083,8,19
168,10837379,10,True,0.3523616194725036,3,58
169,10837379,11,True,0.013843978755176,1,34
