abstract_id,chunk1,chunk2,chunk3
11336940,3,18
11336940,0,
12586182,3,12
12586182,5,
12867391,2,13
12867391,3,
21499770,3,17
19123151,2,15
19860553,2,9
10837379,2,13
10837379,4,
15097262,2,10
17519068,3,9
25430900,4,19
25430900,,14
24672097,8,10,25
24672097,3,13,
16458964,3,14
16458964,7,
12485286,0,
12485286,2,
11167277,3
11167277,6
18327364,0,
18327364,2,
15598478,0,11,19
15598478,2,,
10901475,4,16
10901475,8,21
21792284,0,17
21792284,4,
12470755,2,
12470755,3,
9230823,2,20
9230823,3,
23550916,8,14
23550916,3,
27445072,9,
27445072,11,
10664047,2,
10664047,3,
21851642,7,10
21851642,5,
15857284,1,
15857284,2,
22775229,7,15
22775229,3,14
12383812,7,14,
12383812,0,,
12466165,2,19,
12466165,7,,
20545217,2,
20545217,3,
25533656,6,13,41
25533656,,32,
20429818,3,14
20429818,,13
12483094,6,12
12483094,0,
12660585,0,24,26
12660585,1,,34
12660585,2,,
1524115,0,9
25432143,2,15
25432143,8,
8694726,3,13
8694726,9,
17571086,4,15
17571086,7,
17407624,3,14
17407624,1,
21257146,0,23
21257146,3,
17197028,3,
17197028,4,
1882923,3
16750448,2,8,19
10877373,2,18
10877373,0,
10877373,1,
8123096,3
8123096,10
8123096,2
16825272,3,17
16825272,14,
22320418,6,11
22320418,8,
11825814,7,19,
11825814,9,,
17244215,2,16
16009829,3,12
16009829,6,
26578422,4,22
26578422,0,
11558817,2,11
11558817,1,
15094733,5,14
15094733,7,
21034177,4,13
21034177,5,
11952485,2,
11952485,3,
15037890,3,12
15037890,10,
26940161,0,15
26940161,3,
9331215,0,10
9331215,3,
23203707,7,14
23203707,0,
10080213,2,20,
10080213,3,15,
14736774,6,11
18402717,4,12
18402717,7,14
18535605,4,13
18721251,3,18
19726422,3,15
19726422,0,
8628544,7,13
8628544,4,
12486510,7,14
12486510,4,
15220019,0,11,
15220019,2,,
19476406,3,13,
19476406,,15,
23950156,3,
23950156,0,
